Recipe,Cat,Subcat,Calories,Kilojoules,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Total Sugars,Protein,Calcium,URL
Antipasto Platter,"Appetizers, Dips and Snacks",Appetizers and Tapas,135,566,9.2,1.2,0,157,11.5,2,3.1,2.9,10,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Antipasto-Platter_Y2lkPTkmc2lkPTExJnJpZD05MzM.html
"
Asian Bean and Rice Rolls,"Appetizers, Dips and Snacks",Appetizers and Tapas,373,1561,6.8,1,0,316,66,9.5,10.6,12.6,95,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Asian-Bean-and-Rice-Rolls_Y2lkPTkmc2lkPTExJnJpZD03ODM.html
"
Asparagus Tapas with Red Pepper Sauce,"Appetizers, Dips and Snacks",Appetizers and Tapas,135,565,5,1,0,450,21,5.6,4,5.3,44,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Asparagus-Tapas-with-Red-Pepper-Sauce_Y2lkPTkmc2lkPTExJnJpZD00MjA.html
"
Avocado Angel Eggs,Vegetarian,Appetizers and Snacks,64,269,4.9,1.1,106,39,1.9,1.1,0.5,3.5,15,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Avocado-Angel-Eggs_Y2lkPTkmc2lkPTExJnJpZD04NzI.html
"
Avocado and Mushroom Bruschetta,"Appetizers, Dips and Snacks",Appetizers and Tapas,161,674,9.4,1.7,2,186,14.8,3.7,0.7,5.8,67,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Avocado-and-Mushroom-Bruschetta_Y2lkPTkmc2lkPTExJnJpZD05MzU.html
"
Barbecued Mushrooms with Avocado,"Appetizers, Dips and Snacks",Appetizers and Tapas,164,684,14,2.9,13,628,7.1,3.6,1.1,4.6,27,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Barbecued-Mushrooms-with-Avocado_Y2lkPTkmc2lkPTExJnJpZD00OTY.html
"
Brazilian Garlic Shrimp,"Appetizers, Dips and Snacks",Appetizers and Tapas,160,670,5.5,0.8,173,460,3,0.2,0.6,23.5,67,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Brazilian-Garlic-Shrimp_Y2lkPTkmc2lkPTExJnJpZD02MDY.html
"
Cajun Spiced Sweet Potato Wedges,"Appetizers, Dips and Snacks",Appetizers and Tapas,264,1104,10.8,1.6,0,206,38.1,6,15.9,4.9,80,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Cajun-Spiced-Sweet-Potato-Wedges_Y2lkPTkmc2lkPTExJnJpZD03ODk.html
"
California Avocado Roast Corn Nachos,Vegetarian,Appetizers and Snacks,135,565,7,1.1,0,104,17.2,4.1,0.6,2.9,27,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/California-Avocado-Roast-Corn-Nachos_Y2lkPTkmc2lkPTExJnJpZD05OTI.html
"
Ceviche,"Appetizers, Dips and Snacks",Appetizers and Tapas,283,1182,11.5,1.6,106,765,14.9,2.7,7.3,30.3,78,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Ceviche_Y2lkPTkmc2lkPTExJnJpZD00NTU.html
"
Cheese Lovers' Pizza Squares,"Appetizers, Dips and Snacks",Appetizers and Tapas,180,754,7,3.5,30,470,17,1,6.7,13,264,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Cheese-Lovers-Pizza-Squares_Y2lkPTkmc2lkPTExJnJpZD0zODM.html
"
Cheesy Grape Balls,"Appetizers, Dips and Snacks",Appetizers and Tapas,19,80,1.5,0.4,2,7,1,0,0.4,1,16,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Cheesy-Grape-Balls_Y2lkPTkmc2lkPTExJnJpZD02MA.html
"
Cherry Oatmeal Bake,"Appetizers, Dips and Snacks",Appetizers and Tapas,156,652,0.8,0.3,3,170,31.3,2.1,25,7.5,161,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Cherry-Oatmeal-Bake_Y2lkPTkmc2lkPTExJnJpZD05MTg.html
"
Chili Crab Cakes Topped with Finely Shredded Red Chilies,"Appetizers, Dips and Snacks",Appetizers and Tapas,228,955,7.1,2.2,72,672,22.8,3,3.3,18.8,82,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Chili-Crab-Cakes-Topped-with-Finely-Shredded-Red-Chilies_Y2lkPTkmc2lkPTExJnJpZD03OTQ.html
"
Coconut Shrimp with Ginger Mango Sauce,"Appetizers, Dips and Snacks",Appetizers and Tapas,227,951,7.1,5.1,85,218,30.2,2.3,25,12.3,35,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Coconut-Shrimp-with-Ginger-Mango-Sauce_Y2lkPTkmc2lkPTExJnJpZD0xMDI2.html
"
Confetti Quesadillas with Cilantro Yogurt Dip,Vegetarian,Appetizers and Snacks,255,1055,4.5,2,10,574,35.6,5.2,8.3,18.6,363,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Confetti-Quesadillas-with-Cilantro-Yogurt-Dip_Y2lkPTkmc2lkPTExJnJpZD04NDU.html
"
Crab Rice Cakes,"Appetizers, Dips and Snacks",Appetizers and Tapas,72,301,4,0.8,24,142,5,0,0.6,4,8,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Crab-Rice-Cakes_Y2lkPTkmc2lkPTExJnJpZD00ODc.html
"
Curried Idaho Potato Latkes,"Appetizers, Dips and Snacks",Appetizers and Tapas,96,402,4,0.5,14,160,13,1.2,2.4,2,16,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Curried-Idaho-Potato-Latkes_Y2lkPTkmc2lkPTExJnJpZD02NjU.html
"
Egg Pinwheels,Vegetarian,Appetizers and Snacks,64,266,4.8,1.3,141,159,0.4,0,0.3,4.4,18.2,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Egg-Pinwheels_Y2lkPTkmc2lkPTExJnJpZD0yODM.html
"
Grilled Chili Lime Chicken Wings,"Appetizers, Dips and Snacks",Appetizers and Tapas,235,982,5.2,1.4,82,306,7,0.1,3.5,32.1,28,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Grilled-Chili-Lime-Chicken-Wings_Y2lkPTkmc2lkPTExJnJpZD05OTE.html
"
Grilled Scallops and Watermelon Kebobs,"Appetizers, Dips and Snacks",Appetizers and Tapas,41,171,1.3,0.2,5,376,3.5,0.2,1.7,4.5,13,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Grilled-Scallops-and-Watermelon-Kebobs_Y2lkPTkmc2lkPTExJnJpZD05NDk.html
"
Kick-off Kebobs,"Appetizers, Dips and Snacks",Appetizers and Tapas,66,276,2.4,0.8,22,177,2.3,0.5,1.6,8.4,11,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Kick-off-Kebobs_Y2lkPTkmc2lkPTExJnJpZD03NjQ.html
"
Lemon Cilantro Turkey Tapas,"Appetizers, Dips and Snacks",Appetizers and Tapas,182,759,5,0.6,30,181,14.4,1,1.8,21.2,27,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Lemon-Cilantro-Turkey-Tapas_Y2lkPTkmc2lkPTExJnJpZD03OTM.html
"
Nutty Stuffed Mushroom Caps,"Appetizers, Dips and Snacks",Appetizers and Tapas,120,502,5.6,0.7,3,353,15,2,5,4.4,34,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Nutty-Stuffed-Mushroom-Caps_Y2lkPTkmc2lkPTExJnJpZD00ODI.html
"
Royale Cucumber Sandwich,"Appetizers, Dips and Snacks",Appetizers and Tapas,179,750,7,2.2,6,347,22.2,6.7,2.5,13.5,282,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Royale-Cucumber-Sandwich_Y2lkPTkmc2lkPTExJnJpZD0yNjM.html
"
Scallops with Spicy Papaya Sauce,"Appetizers, Dips and Snacks",Appetizers and Tapas,172,718,4.4,0.6,38,346,12.5,1.4,4.3,20,44,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Scallops-with-Spicy-Papaya-Sauce_Y2lkPTkmc2lkPTExJnJpZD00NzM.html
"
Shiitake Summer Rolls,"Appetizers, Dips and Snacks",Appetizers and Tapas,120,502,1,0,0,619,24,1,4,2,14,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Shiitake-Summer-Rolls_Y2lkPTkmc2lkPTExJnJpZD01ODc.html
"
Smoked Turkey Tea Sandwiches,"Appetizers, Dips and Snacks",Appetizers and Tapas,34,142,1,0.4,6,172,3.8,0.2,0.2,4,5,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Smoked-Turkey-Tea-Sandwiches_Y2lkPTkmc2lkPTExJnJpZD03MDA.html
"
Spring Rolls,"Appetizers, Dips and Snacks",Appetizers and Tapas,133,554,4.5,1,9,179,15,0.5,2,9,10,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Spring-Rolls_Y2lkPTkmc2lkPTExJnJpZD01OQ.html
"
Touchdown Turkey Kebobs,"Appetizers, Dips and Snacks",Appetizers and Tapas,242,1013,10,2.6,46,308,9.6,2,4.6,30,45,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Touchdown-Turkey-Kebobs_Y2lkPTkmc2lkPTExJnJpZD03NzE.html
"
"Turkey, Artichoke and Tomato Tapas","Appetizers, Dips and Snacks",Appetizers and Tapas,129,540,4.5,0.8,47,185,3,0.6,0.4,19,15,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Turkey-Artichoke-and-Tomato-Tapas_Y2lkPTkmc2lkPTExJnJpZD00MzM.html
"
Turkey-Olive Appetizers,"Appetizers, Dips and Snacks",Appetizers and Tapas,21,88,1,0.2,1,115,1,0.3,0,2,16,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Turkey-Olive-Appetizers_Y2lkPTkmc2lkPTExJnJpZD02NzQ.html
"
Zucchini and Onion Frittata,"Appetizers, Dips and Snacks",Appetizers and Tapas,133,556,8.6,2.4,214,433,4.6,1,2.4,10,72,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Appetizers-and-Tapas/Zucchini-and-Onion-Frittata_Y2lkPTkmc2lkPTExJnJpZD05OTQ.html
"
Avocado Dip,"Appetizers, Dips and Snacks",Dips and Spreads,25,103,1.8,0.6,3,96,1.3,0.5,0.2,1.2,26,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Avocado-Dip_Y2lkPTkmc2lkPTEwJnJpZD01OA.html
"
Avocado and Dill Salsa,"Appetizers, Dips and Snacks",Dips and Spreads,60,245,4.5,1.5,0,30,3,0.4,2,0.5,8.5,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Avocado-and-Dill-Salsa_Y2lkPTkmc2lkPTEwJnJpZD0zNzc.html
"
Avocado and Mango Salsa,"Appetizers, Dips and Snacks",Dips and Spreads,35,147,2,0.4,0,16,4,2,5,0.6,6,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Avocado-and-Mango-Salsa_Y2lkPTkmc2lkPTEwJnJpZD01NzI.html
"
Avocado-Cilantro Spread,"Appetizers, Dips and Snacks",Dips and Spreads,50,208,4.4,1.2,3,58,2.1,1.5,0.2,1.2,14,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Avocado-Cilantro-Spread_Y2lkPTkmc2lkPTEwJnJpZD05NjU.html
"
Award Winning Guacamole,"Appetizers, Dips and Snacks",Dips and Spreads,121,507,10.3,2.2,5,239,6,4,0.7,3.3,60,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Award-Winning-Guacamole_Y2lkPTkmc2lkPTEwJnJpZD0xMDIx.html
"
Bean Dip Athenos,"Appetizers, Dips and Snacks",Dips and Spreads,50,209,0.5,0,1,125,9.5,1.7,0.2,2,22,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Bean-Dip-Athenos_Y2lkPTkmc2lkPTEwJnJpZD03NDA.html
"
Celery with Apricot Blue Cheese Spread,"Appetizers, Dips and Snacks",Dips and Spreads,68,285,3.1,0.7,3,132,7.7,1.9,5.7,3.1,96,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Celery-with-Apricot-Blue-Cheese-Spread_Y2lkPTkmc2lkPTEwJnJpZD0xMDIw.html
"
Cilantro Yogurt Dip,"Appetizers, Dips and Snacks",Dips and Spreads,46,192,0.2,0.1,2,257,6.3,0,6.3,4.7,163,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Cilantro-Yogurt-Dip_Y2lkPTkmc2lkPTEwJnJpZD04NDY.html
"
Cranberry Salsa,"Appetizers, Dips and Snacks",Dips and Spreads,40,168,1,0,0,76,8,1.5,3,1,12,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Cranberry-Salsa_Y2lkPTkmc2lkPTEwJnJpZD00MTk.html
"
French Damper Dip,"Appetizers, Dips and Snacks",Dips and Spreads,19,79,0.3,0.1,0,68,3.2,0.1,0.3,0.7,6,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/French-Damper-Dip_Y2lkPTkmc2lkPTEwJnJpZD0xNA.html
"
Halibut Salad,"Appetizers, Dips and Snacks",Dips and Spreads,95,396,2.1,0.3,23,364,4.5,0.5,3.1,13.7,34,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Halibut-Salad_Y2lkPTkmc2lkPTEwJnJpZD05MDU.html
"
Tangy Chickpea Dip,"Appetizers, Dips and Snacks",Dips and Spreads,96,400,0.9,0.1,1,166,17.6,3.1,1.6,4.7,66,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Tangy-Chickpea-Dip_Y2lkPTkmc2lkPTEwJnJpZD0xMzQ.html
"
Toasty Walnut Hummus with Pita,"Appetizers, Dips and Snacks",Dips and Spreads,93,389,4,0.5,0,227,13,1,0.4,3,6,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Toasty-Walnut-Hummus-with-Pita_Y2lkPTkmc2lkPTEwJnJpZD02ODE.html
"
Tzatziki,"Appetizers, Dips and Snacks",Dips and Spreads,50,209,1.7,0.2,0,22,3.2,0.2,2.6,5.2,44,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Tzatziki_Y2lkPTkmc2lkPTEwJnJpZD03ODg.html
"
Watermelon Walnut Spread,"Appetizers, Dips and Snacks",Dips and Spreads,51,212,3.7,0.5,1,70,2.2,0.5,0.7,2.8,34,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Dips-and-Spreads/Watermelon-Walnut-Spread_Y2lkPTkmc2lkPTEwJnJpZD05NjY.html
"
Apple Cinnamon Crostini,Children's Recipes,Healthy Recipes for Children,117,487,4.5,1.4,4,119,17.6,1.1,6.7,1.9,24,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Apple-Cinnamon-Crostini_Y2lkPTkmc2lkPTEwNCZyaWQ9OTA4.html
"
Bagel Chips,Recipe Makeovers,Healthy Recipe Makeovers,114,477,7,1,3,249,10,0.5,0.2,3,58,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Bagel-Chips_Y2lkPTkmc2lkPTEwNCZyaWQ9MTI.html
"
Baked Mozzarella Sticks,Vegetarian,Appetizers and Snacks,93,389,4.8,2.7,31,243,4.1,0.3,1,9,157,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Baked-Mozzarella-Sticks_Y2lkPTkmc2lkPTEwNCZyaWQ9OTk1.html
"
Banana Popsicles,Desserts,Frozen Desserts,88,368,1,0.2,0,2,19.4,3,8.3,2.5,7,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Banana-Popsicles_Y2lkPTkmc2lkPTEwNCZyaWQ9MzIy.html
"
Blueberry Party Mix,Vegetarian,Appetizers and Snacks,118,493,5.2,0.5,0,53,16.6,2.2,7.3,1.9,17,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Blueberry-Party-Mix_Y2lkPTkmc2lkPTEwNCZyaWQ9OTY5.html
"
Blueberry Watermelon Freeze,Beverages,Non Dairy-Based Drinks,106,444,0.3,0,0,10,26.5,2,23.3,1.5,9,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Blueberry-Watermelon-Freeze_Y2lkPTkmc2lkPTEwNCZyaWQ9NzQx.html
"
Cherry Trail Mix,Vegetarian,Appetizers and Snacks,127,530,3,0.4,0,110,24.1,2.5,10.4,2.9,22,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Cherry-Trail-Mix_Y2lkPTkmc2lkPTEwNCZyaWQ9OTAy.html
"
Chocolate Banana Pudding Pops,Desserts,Cold Desserts,111,465,1,0.6,1,326,25,2,10,3,78,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Chocolate-Banana-Pudding-Pops_Y2lkPTkmc2lkPTEwNCZyaWQ9NjAw.html
"
Creamy California Apricot Fruit Soup,"Soup, Stew and Chili",Chilled Soup,142,592,1.5,0.8,5,62,19.4,2.3,12.7,5.3,161,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Creamy-California-Apricot-Fruit-Soup_Y2lkPTkmc2lkPTEwNCZyaWQ9OTcx.html
"
Critter Munch,Holiday and Special Occasions,Halloween,77,322,3.4,0.5,0,68,10.6,1,6.3,1.8,24,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Critter-Munch_Y2lkPTkmc2lkPTEwNCZyaWQ9NzQ0.html
"
Crunchy Cherry Party Mix,Holiday and Special Occasions,Christmas,93,389,2.2,0.3,0,202,17.2,1.3,2.3,2,35,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Crunchy-Cherry-Party-Mix_Y2lkPTkmc2lkPTEwNCZyaWQ9NzM4.html
"
Date and Apricot Muesli Squares,Baking,"Cakes, Cookies, Muffins",109,456,1.7,0.9,5,34,22.3,1.5,15.3,2.3,26,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Date-and-Apricot-Muesli-Squares_Y2lkPTkmc2lkPTEwNCZyaWQ9MTc0.html
"
Dried Fruit and Coconut Balls,Desserts,Cold Desserts,90,377,1.5,1,0,1,21,2.1,18,0.6,21,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Dried-Fruit-and-Coconut-Balls_Y2lkPTkmc2lkPTEwNCZyaWQ9OTI4.html
"
Flaxseed Muffins,Baking,"Cakes, Cookies, Muffins",95,396,3.8,0.6,2,156,12.7,3.6,2.1,4.1,79,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Flaxseed-Muffins_Y2lkPTkmc2lkPTEwNCZyaWQ9NDYz.html
"
Fool Yourself Cookies,Baking,"Cakes, Cookies, Muffins",68,285,2,0.4,0,109,8,1.3,2.7,5.6,74,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Fool-Yourself-Cookies_Y2lkPTkmc2lkPTEwNCZyaWQ9ODEy.html
"
Frosty Strawberry Pops,Desserts,Frozen Desserts,76,318,2,1,5,25,15,1,6.7,2,54,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Frosty-Strawberry-Pops_Y2lkPTkmc2lkPTEwNCZyaWQ9NTIz.html
"
Mango Yogurt Smoothie,Beverages,Dairy-Based Drinks,100,419,0.4,0.2,3,89,20.3,1.2,18.8,6.9,233,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Mango-Yogurt-Smoothie_Y2lkPTkmc2lkPTEwNCZyaWQ9NzIz.html
"
Mocha Shake,Beverages,Dairy-Based Drinks,96,419,0,0,0,115,14,0,12,10,305,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Mocha-Shake_Y2lkPTkmc2lkPTEwNCZyaWQ9OTk.html
"
Nutty Candy,Desserts,Cold Desserts,62,261,2.3,0.4,1,49,8.5,0.9,2.1,3.2,43,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Nutty-Candy_Y2lkPTkmc2lkPTEwNCZyaWQ9ODIy.html
"
Oaty Apricot Bars,Baking,"Cakes, Cookies, Muffins",114,476,3.2,0.3,0,5,17.7,2.7,5,4.5,27,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Oaty-Apricot-Bars_Y2lkPTkmc2lkPTEwNCZyaWQ9MzY3.html
"
Papaya Health Blast,"Appetizers, Dips and Snacks",Snacks,174,729,6.3,1.2,4,46,26.5,2.9,20.7,5.8,146,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Papaya-Health-Blast_Y2lkPTkmc2lkPTEwNCZyaWQ9ODg2.html
"
Papaya Lassi,Beverages,Dairy-Based Drinks,108,450,1.1,0.7,4,45,22.2,3,15.8,4,148,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Papaya-Lassi_Y2lkPTkmc2lkPTEwNCZyaWQ9ODg1.html
"
"Peach, Berry and Choc-Chip",Desserts,Cold Desserts,96,402,3.2,1.7,0,1,17.6,3.5,13.1,1.6,17,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Peach-Berry-and-Choc-Chip_Y2lkPTkmc2lkPTEwNCZyaWQ9Mzg2.html
"
Pizza Popcorn,Children's Recipes,Healthy Recipes for Children,59,247,4,2.7,13,141,1.6,0.5,0.1,3.4,107,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Pizza-Popcorn_Y2lkPTkmc2lkPTEwNCZyaWQ9MjQ0.html
"
Popcorn Trail Mix,Children's Recipes,Healthy Recipes for Children,97,406,3.6,0.4,0,33,15.3,3,4.7,4,17,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Popcorn-Trail-Mix_Y2lkPTkmc2lkPTEwNCZyaWQ9NzEz.html
"
Spiced Apple Pie Party Mix,Holiday and Special Occasions,Halloween,138,577,7.9,0.8,0,8,17.5,2,12.6,2.3,21,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Spiced-Apple-Pie-Party-Mix_Y2lkPTkmc2lkPTEwNCZyaWQ9MTAwNw.html
"
Spicy Navajo Green Chili,"Soup, Stew and Chili","Warm Soup, Stew and Chili",321,1342,12,4,92,393,16.3,3,7.6,37.5,96,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Spicy-Navajo-Green-Chili_Y2lkPTkmc2lkPTEwNCZyaWQ9NjI0.html
"
Strawberry Dove Dessert,Desserts,Cold Desserts,139,582,3.3,1.6,1,10,27.2,5.1,15.9,1.9,39,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Strawberry-Dove-Dessert_Y2lkPTkmc2lkPTEwNCZyaWQ9OTQx.html
"
Strawberry and Banana Ice Blocks,Desserts,Frozen Desserts,45,190,0.2,0,0,1,10.9,0.8,7.7,0.7,10,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Strawberry-and-Banana-Ice-Blocks_Y2lkPTkmc2lkPTEwNCZyaWQ9NzA.html
"
Sweet and Salty Crunchy Mix,"Appetizers, Dips and Snacks",Snacks,179,747,6.6,0.9,0,36,27.7,3.5,5.3,5.5,24,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Sweet-and-Salty-Crunchy-Mix_Y2lkPTkmc2lkPTEwNCZyaWQ9ODEw.html
"
Taco Popcorn,Vegetarian,Appetizers and Snacks,53,222,2.4,0.8,1,54,6.4,1.2,0.1,1.8,21,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Taco-Popcorn_Y2lkPTkmc2lkPTEwNCZyaWQ9OTAx.html
"
Tangy California Cling Peach Harvest Swirl Smoothie,Beverages,Dairy-Based Drinks,138,578,0.4,0.2,2,82,30,2,25,6,197,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Tangy-California-Cling-Peach-Harvest-Swirl-Smoothie_Y2lkPTkmc2lkPTEwNCZyaWQ9NzEw.html
"
Technicolor Vegetable Pizzas,Vegetarian,Vegetarian Dishes,187,783,4.8,1.1,4,388,31.2,3.6,5.9,5.9,73,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Technicolor-Vegetable-Pizzas_Y2lkPTkmc2lkPTEwNCZyaWQ9ODc4.html
"
"Tomato, Zucchini and Basil Muffins",Baking,"Cakes, Cookies, Muffins",116,484,2.1,0.3,16,438,22.2,1.7,3.1,3.9,128,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Tomato-Zucchini-and-Basil-Muffins_Y2lkPTkmc2lkPTEwNCZyaWQ9ODE.html
"
Tropical Fruit Snacking Cup,Children's Recipes,Healthy Recipes for Children,131,547,0.6,0.1,0,5,33.1,3.6,23.9,1.4,27,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Tropical-Fruit-Snacking-Cup_Y2lkPTkmc2lkPTEwNCZyaWQ9ODgw.html
"
Tropical Strawberry Smoothie,Beverages,Dairy-Based Drinks,100,419,1,0.5,3,34,20.8,1.5,18.3,3.2,103,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Tropical-Strawberry-Smoothie_Y2lkPTkmc2lkPTEwNCZyaWQ9NzI0.html
"
Turkey Meatballs,"Appetizers, Dips and Snacks",Appetizers and Tapas,63,264,3,0.1,27,200,4,1,0.6,5,15,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Turkey-Meatballs_Y2lkPTkmc2lkPTEwNCZyaWQ9NTY2.html
"
Watermelon Kiwi Smoothie,Beverages,Dairy-Based Drinks,113,473,0.3,0,3,59,24,1.5,17.5,4.3,152,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Watermelon-Kiwi-Smoothie_Y2lkPTkmc2lkPTEwNCZyaWQ9NzI2.html
"
Wholesome Granola Bars,Baking,"Cakes, Cookies, Muffins",148,620,4,1,0,24,25.6,2,14,3.3,27,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Wholesome-Granola-Bars_Y2lkPTkmc2lkPTEwNCZyaWQ9NzE0.html
"
